name_of_law_firm ,address,location, no_of_partners,phone,website_url
"AG Adams Law, P.A.",1522 Oak Street,"Jacksonville, Florida 32204",,904-256-4112,https://agadamslaw.com/
Agentis Law,Suite 800,"Coral Gables, Florida 33134",,305-722-2002,https://agentislaw.com/
Aghl Law,"839 N. Perryville Rd
Suite 200","Rockford, Illinois 61107",17,815-265-6464,http://aghllaw.com
"Ahlers & Cooney, PC","100 Court Avenue, Suite 600","Des Moines, Iowa 50309-2231",30,515-243-7611,http://www.ahlerslaw.com/
Ahmad Zavitsanos & Mensing,"1221 McKinney, Suite 2500","Houston, Texas 77010",21,713-655-1101,http://www.azalaw.com
Ahmuty Demers & McManus,199 Water Street,"New York, New York 10038",37,212-513-7788,http://admlaw.com/
"Ahrens DeAngeli Law Group, LLP","250 S 5th Street, Suite 660","Boise, Idaho 83702-8370",7,208-639-7799,http://adlawgroup.com
Aiello Harris Marth Tunnero & Schiffman PC,34 N Sussex St,"Dover, New Jersey 07071",9,908-304-9224,http://aielloharris.com
Aiken Bridges Law,181 E Evans St # 409,"Florence, South Carolina 29506",10,843-669-8787,http://aikenbridges.com
"Airdo Werwas, LLC","111 East Wacker Drive, Suite 500","Chicago, Illinois 60601",5,312-500-5280,https://www.airdowerwas.com
Aitken Aitken Cohn,"7121 Magnolia Ave., Suite A","Riverside, California 92504",7,951-534-4006,https://www.aitkenlaw.com/
Ajamie LLP,"Pennzoil Place– South Tower
711 Louisiana, Suite 2150","Houston, Texas 77002",5,713-860-1600,https://www.ajamie.com/
Akeel & Valentine PLC,"888 W. Big Beaver Rd.
Suite 350","Troy, Michigan 48084",2,248-918-4542,https://www.akeelvalentine.com/
Akerman LLP,"Three Brickell City Centre, 98 Southeast Seventh Street, Suite 1100","Miami, Florida 33131",468,305-374-5600,http://www.akerman.com/
"Akin, Gump, Strauss, Hauer & Feld, LLP","Robert S. Strauss Tower, 2001 K Street, N.W.","Washington, District of Columbia 20006-1037",261,202-887-4000,http://www.akingump.com
"Akin, Webster & Matson, P.C.",544 Mulberry St. Suite 400,"Macon, Georgia 31201",,478-250-1522,https://www.akin-webster-matson.com/
Akman & Associates PC,1402 Front Avenue,"Lutherville, Maryland 21093-2109",5,410-337-9400,http://www.akmanlegal.com/
"Alane Family Law, P.C.",403 Seymour Avenue,"Lansing, Michigan 48933",,517-482-2000,https://www.alanefamilylaw.com/
Alan Lescht & Associates PC,"1825 K Street N.W.
Suite 750","Washington, District of Columbia 20006",9,202-463-6036,http://dcemploymentattorney.com
A Lavar Taylor Law,"3 Hutton Centre Dr., Suite 500","Santa Ana, California 92707",3,714-546-0445,http://taylorlaw.com/
ALAW  James E Albertelli PA,5404 Cypress Center Dr Suite 300,"Tampa, Florida 33609",10,813-221-4743,http://alaw.net
"Albanese & Albanese, LLP",1050 Franklin Avenue,"Garden City, New York 11530",8,516-248-7000,http://albaneselegal.com/
Albert & Mackenzie,28216 Dorothy Drive Suite 200,"Agoura Hills, California 91301-9130",12,559-374-3187,http://albmac.com/
"Albright, Stoddard, Warnick & Albright","801 South Rancho Drive, Suite D4","Las Vegas, Nevada 89106-3854",5,702-854-2791,http://albrightstoddard.com/
Alcaraz Law PA,20 1st Plaza NW Ste 412,"Albuquerque, New Mexico 87102-8710",3,505-273-953,https://alcarazlawnm.com/
Alden Law Group PLLC,"1850 M St. NW
Suite 901","Washington, District of Columbia 20036",3,202-463-0300,https://www.employmentlawfederal.com/
"Alderman, Devorsetz & Hora PLLC","1025 Connecticut Ave. NW, Suite 615","Washington, District of Columbia 20036",,202-969-8220,www.adhlawfirm.com
Aldrich & Bonnefin PLC,"1920 Main Street, Suite 800","Irvine, California 92614",4,949-474-1944,https://ablawyers.com/
Aldridge Pite LLP,"4375 Jutland Drive
Suite 200","San Diego, California 92117",24,858-750-7600,http://aldridgepite.com
"Aleshire & Wynder, LLP",18881 Von Karman Avenue Suite 1700,"Irvine, California 92612-9261",44,949-223-1170,http://awattorneys.com/
"Alexander Business Law, PLLC",11602 Lake Underhill Road #102,"Orlando, Florida 32825",,407-649-7777,https://orlandobusinesslawyer.com/
Alexander Degance Barnett,1500 Riverside Avenue,"Jacksonville, Florida 32204",6,904-345-3277,http://adblegal.com/
Alexander Dubose & Jefferson LLP,"515 Congress Avenue, Suite 2350","Austin, Texas 78701",14,512-482-9300,http://adjtlaw.com/
Alexander Ricks PLLC,1420 E. 7th Street,"Charlotte, North Carolina 28204",21,704-365-3656,http://alexanderricks.com
Alexander Shunnarah Injury Lawyers,2900 1st Avenue South,"Birmingham, Alabama 35222",22,800-229-7989,https://shunnarah.com/
Alexander & Vann LLP,411 Gordon Avenue,"Thomasville, Georgia 31792",9,229-226-2565,http://alexandervann.com
"ALG, Association Law Group","1101 Brickell Ave, Suite N1101","Miami, Florida 33131",4,305-938-6922,http://algpl.com/
"Allegaert Berger & Vogel, LLP","111 Broadway, 20th Floor","New York, New York 10006-1000",15,212-571-0550,http://abv.com/
Allegaert Berger Vogel LLP,"111 Broadway, 20th Floor","New York, New York 10006",,212-571-0550,https://abv.com/
Allen & Associates,"4250 Lancaster Pike, Suite 230","Wilmington, Delaware 19805",,302-234-8600,https://allenlaborlaw.com/
"Allen Barnes & Jones, PLC","1850 N. Central Ave., Suite 1150","Phoenix, Arizona 85004",,602-256-6000,https://www.bkfirmaz.com/
Allen Boone Humphries Robinson LLP,"3200 Southwest Freeway

Suite 2600","Houston, Texas 77027",12,713-860-6400,http://abhr.com/
Allen & Curry PC,"1999 Broadway, Suite 1425","Denver, Colorado 80202",5,303-955-6185,https://allen-curry.com/
Allen Dell PA,"202 South Rome Ave, Suite 100","Tampa, Florida 33606",10,813-223-5351,http://www.allendell.com
Allen Dyer Doppelt & Gilchrist PA,"255 South Orange Avenue, Suite 1401","Orlando, Florida 32801",13,407-841-2330,http://allendyer.com
"Allen Galluzzo Hevrin Leake, LLC","839 N. Perryville Rd, Suite 200","Rockford, Illinois 61107",,815-265-6464,https://aghllaw.com/
Allen Glaessner Hazelwood & Werth LLP,"180 Montgomery Street, Suite 1200","San Francisco, California 94104",6,415-697-2000,http://aghwlaw.com
Allen & Gooch,"2000 Kaliste Saloom Rd, Suite 400","Lafayette, Louisiana 70508",14,337-291-1000,http://www.allengooch.com
Allen Matkins Leck Gamble Mallory & Natsis LLP,865 South Figueroa St. Suite 2800,"Los Angeles, California 90017-2543",122,213-622-5555,http://www.allenmatkins.com
"Allen, Moore & Rogers, L.L.P.",3700 Computer Drive Suite 320,"Raleigh, North Carolina 27609",,919-783-8023,https://amrlawnc.com/
Allen Norton & Blue PA,"121 Majorca Avenue, Suite 300","Coral Gables, Florida 33134",14,305-445-7801,http://www.anblaw.com/
"Allen Norton & Blue, P.A.",121 Majorca Avenue - Suite 300,"Coral Gables, Florida 33134",,305-445-7801,https://www.anblaw.com/
Allen & Overy LLP,One Bishops Square,"London, England E1 6AD",85,+44 2890 607500,http://www.allenovery.com
Allen Stein & Durbin PC,"6243 IH-10 West, 7th Floor, P.O. Box 101507","San Antonio, Texas 78201",6,210-734-7488,http://asdh.com
Allen Stovall Neuman Fisher & Ashton LLP,17 S High St Ste 1220,"Columbus, Ohio 43215",6,614-221-8500,http://asnfa.com/
Allen Summers Simpson Lillie & Gresham PLLC,"80 Monroe Avenue, Suite 650","Memphis, Tennessee 38103",9,901-763-4200,http://www.allensummers.com/contact-us
"Allensworth & Porter, LLP",303 Colorado Street Suite 2800,"Austin, Texas 78701",10,512-708-1250,https://www.allensworthlaw.com/
Allen Vellone Wolf Helfrich & Factor PC,"1600 Stout St., Suite 1900","Denver, Colorado 80202",8,303-534-4499,http://www.allen-vellone.com
"Allen Wellman McNew Harvey, LLP",5 Courthouse Plaza,"Greenfield, Indiana 46140-4614",6,317-468-2365,http://awmlaw.com
Allers Cressman & Sleight PLLC,999 Third Avenue - Suite 3800,"Seattle, Washington 98104-9810",11,206-287-9900,https://www.acslawyers.com/
"Alley, Maass, Rogers & Lindsay P.A.","340 Royal Poinciana Way, Suite 321","Palm Beach, Florida 33480",10,561-659-1770,http://www.amrl.com/
Allison MacKenzie,402 North Division Street,"Carson City, Nevada 89703",7,775-687-0202,http://allisonmackenzie.com/
"Allman Spry Davis Leggett & Crumpler, P.A.","380 Knollwood Street, Suite 700","Winston-Salem, North Carolina 27103",10,336-722-2300,http://allmanspry.com/
Almanza Blackburn Dickie & Mitchell LLP,2301 S Capital Of Texas Hwy Building H,"Austin, Texas 78746",10,512-474-9486,http://abdmlaw.com
Aloia Roland Lubell & Morgan PLLC,2222 Second Street,"Fort Myers, Florida 33901",8,239-791-7950,http://lawdefined.com
Alonso Law Ltd.,6160 Plumas St #200,"Reno, Nevada 89519",,775-683-9407,https://alonsolawltd.com/
Alston & Bird LLP,"One Atlantic Center
1201 West Peachtree Street
Suite 4900","Atlanta, Georgia 30309-3424",381,404-881-7000,http://www.alston.com/
Alston Courtnage & Bassetti LLP,"ONE UNION SQUARE
600 University Street, Suite 2310","Seattle, Washington 98101-4011",7,206-623-7600,http://alcourt.com/
"Altima Advisors/Attorneys, LLC",55th Floor,"Philadelphia, Pennsylvania 19103",,215-268-7525,https://www.altimaadvisors.com/
Altitude Community Law,"555 Zang Street, Suite 100","Lakewood, Colorado 80228-1011",10,303-432-9999,https://altitude.law/
Altshuler Berzon LLP,177 Post Street Suite 300,"San Francisco, California 94108",13,415-421-7151,http://altshulerberzon.com/
Alvarez-Glasman & Colvin,13181 Crossroads Pkwy North Suite 400 - West Tower,"City of Industry, California 91746-9174",10,562-699-5500,http://agclawfirm.com/
Alvarez Winthrop Thompson & Smoak PA,"390 N. Orange Avenue, Suite 600","Orlando, Florida 32801",9,407-210-2796,http://www.awtspa.com/
Alward Fisher,412 S. Union Street,"Traverse City, Michigan 49684",8,231-346-5400,http://nmichlaw.com
"Amabile & Erman, PC",1000 South Ave,"Staten Island, New York 10314",10,718-370-7030,http://amabile-erman.com/
Ambrose Law Firm,3702 Volkman Road,"Erie, Pennsylvania 16506",,814-459-5900,https://www.ambroselawfirm.net/
Amin Talati Wasserman LLP,"549 W. Randolph Street
Suite 400","Chicago, Illinois 60661",16,312-466-1033,http://amintalati.com/
Amin Turocy & Watson LLP,"127 Public Square 57th Floor, Key Tower","Cleveland, Ohio 44114",13,216-696-8730,http://www.thepatentattorneys.com/
Amis Patel & Brewer,1050 K Street NW 5th Floor,"Washington, District of Columbia 20001",8,202-601-8501,http://apbllp.com
AMPACC Law Group PLLC,"6100 219th Street SW
Suite 580","Mountlake Terrace, Washington 98043",6,425-348-3500,http://ampacc.com
"AMS Global Immigration, PC",901 Tower Drive Suite 420,"Troy, Michigan 48098",,313-752-1429,https://amsglobalimmigration.com/
Amster Rothstein & Ebenstein LLP,90 Park Avenue,"New York, New York 10016",18,212-336-8000,http://www.arelaw.com
Amundsen Davis LLC,"150 North Michigan Avenue, Suite 3300","Chicago, Illinois 60601",143,312-894-3200,https://www.amundsendavislaw.com/
Amy Stewart PC,"5307 E. Mockingbird Lane, Ste 425","Dallas, Texas 75206",2,214-233-7076,http://www.amystewartlaw.com/
Anapol Weiss,One Logan Square 130 N. 18th St. Ste. 1600,"Philadelphia, Pennsylvania 19103-1910",12,215-735-1130,http://www.anapolweiss.com/
Ancel Glink,"140 S. Dearborn Street, 6th Floor","Chicago, Illinois 60603",19,312-782-7606,http://ancelglink.com/
Anchors Smith Grimsley,909 Mar Walt Dr Suite 1014,"Fort Walton Beach, Florida 32547",9,850-863-4064,http://asglegal.com
Andersen PLLC,"17015 N. Scottsdale Road
Suite 225","Scottsdale, Arizona 85255",4,480-265-9165,http://andersenpllc.com
"Andersen Tate & Carr, PC","One Sugarloaf Centre
1960 Satellite Boulevard
Suite 4000","Duluth, Georgia 30097",17,770-822-0900,http://atclawfirm.com/
Anderson Agostino & Keller PC,131 South Taylor Street,"South Bend, Indiana 46601",4,574-288-1510,http://aaklaw.com
Anderson Bottrell Sanden & Thompson,4132 30th Avenue South Suite 100,"Fargo, North Dakota 58104-5810",10,701-235-3300,http://andersonbottrell.com
"Anderson, Coe & King, L.L.P.","7 Saint Paul St., Suite 1600","Baltimore, Maryland 21202",9,410-752-1630,http://www.acklaw.com/
Anderson Crawley & Burke PLLC,216 Draperton Court,"Ridgeland, Mississippi 39157",8,601-707-8800,http://acblaw.com
Anderson Hunter,2707 Colby Ave. Ste. 1001,"Everett, Washington 98201-9820",10,425-954-2780,https://andersonhunterlaw.com/
Anderson Julian & Hull LLP,"250 South Fifth Street, Suite 700","Boise, Idaho 83702",15,208-344-5800,http://ajhlaw.com
Anderson & Karrenberg,"Broadway Media Building
50 West Broadway, Suite 600","Salt Lake City, Utah 84101-8410",9,801-534-1700,http://aklawfirm.com
Anderson Kill PC,1251 Avenue of the Americas,"New York, New York 10020",45,212-278-1000,http://www.andersonkill.com/
Anderson & Kreiger LLP,50 Milk Street 21st Floor,"Boston, Massachusetts 02109",14,617-621-6500,http://www.andersonkreiger.com/
"Anderson, McPharlin & Conners, LLP","707 Wilshire Boulevard, Suite 4000","Los Angeles, California 90071-9007",10,213-688-0080,http://www.amclaw.com/
Anderson Murphy Hopkins LLP,"101 River Bluff Drive, Suite A","Little Rock, Arkansas 72202-2267",9,501-372-1887,http://andersonmurphyhopkins.com
Anderson O Brien Law Firm,1257 Main Street,"Stevens Point, Wisconsin 54481-0228",10,715-344-0890,http://www.andlaw.com/
"Anderson & Quinn, LLC",25 Wood Lane,"Rockville, Maryland 20850",5,301-762-3303,http://www.andersonquinn.com/
"Anderson Rasor & Partners, LLP","100 South Wacker Drive, Suite 1000","Chicago, Illinois 60606",11,312-673-7800,http://arandpartners.com/
Anderson Wilmarth Van Der Maaten Belay Fretheim Gipp Evelsizer Olson Noble Lynch & Zahasky,"Court View Place 212 Winnebago Street, Post Box 450","Decorah, Iowa 52101",4,563-382-2959,http://www.andersonlawdecorah.com/
Anderson Yazdi Hwang Minton & Horn LLP,350 Primrose Road,"Burlingame, California 94010",7,650-212-5900,http://andersonyazdi.com
Anderson Zeigler Law Firm,50 Old Courthouse Sq 5th Fl,"Santa Rosa, California 95402-1498",9,707-545-4910,http://andersonzeigler.com
Andreason Law Firm,"77 Sugar Creek Center Blvd., Suite 385","Sugar Land, Texas 77478",,281-265-1561,https://www.andreasonlawfirm.com/
Andre Morris & Buttery,1102 Laurel Lane,"San Luis Obispo, California 93401",8,805-543-4171,http://amblaw.com
"Andrew Domin, Attorney at Law",161 North Clark St 16th Floor,"Chicago, Illinois 60606",,312-704-8008,https://adwokatdomin.com/
Andrews Myers PC,"1885 Saint James Place
15th Floor","Houston, Texas 77056",36,713-850-4200,http://www.andrewsmyers.com/
Andrus Intellectual Property Law LLP,"100 E Wisconsin Ave, Suite 1100","Milwaukee, Wisconsin 53202",8,414-271-7590,http://andruslaw.com/
Anesi Ozmon LTD,161 N Clark St Ste 2100,"Chicago, Illinois 60601",7,312-635-4006,http://anesilaw.com
Angius & Terry LLP,"1990 N. California Blvd., Suite 20","Walnut Creek, California 94596",7,925-939-9933,https://www.angius-terry.com/
"Anidjar & Levine, PA",300 SE 17th Street,"Fort Lauderdale, Florida 33316",7,954-525-0050,http://www.anidjarlevine.com/
Ansa Assuncao LLP,"1255 Drummers Lane
Suite 300
Wayne, PA 19087","Wayne, Pennsylvania 19087",6,914-298-2260,http://ansalaw.com
Ansell Grimm & Aaron PC,1500 Lawrence Ave,"Ocean, New Jersey 07712",26,732-922-1000,https://ansell.law/
Anselmi & Carvelli LLP,"56 Headquarters Plaza,
West Tower, Fifth Floor","Morristown, New Jersey 07960",6,973-635-6300,https://www.acllp.com/
Anselmi Mierzejewski Ruth & Sowle PC,"1750 S. Telegraph Road, Ste 200","Bloomfield Hills, Michigan 48302",9,248-338-2290,http://a-mlaw.com
Anspach Meeks Ellenberger LLP,25 S Huron Street,"Toledo, Ohio 43604-2633",4,419-246-5757,http://www.anspachlaw.com/
"Antheil Maslow & MacMinn, LLP",131 West State Street PO Box 50,"Doylestown, Pennsylvania 18901-1890",12,215-230-7500,http://www.ammlaw.com/
Anthony and Partners,100 Ashley Dr S Suite 1600,"Tampa, Florida 33602",7,813-273-5616,http://www.anthonyandpartners.com/
Anthony LG PLLC,"625 N. Flagler Drive, Ste. 600","West Palm Beach, Florida 33401",3,561-514-0936,http://anthonypllc.com
Anthony Ostlund Louwagie Dressen Boylan PA,"90 South 7th Street
3600 Wells Fargo Center","Minneapolis, Minnesota 55402",7,612-349-6969,http://www.anthonyostlund.com/home/
Antone Casagrande & Adwers PC,"31555 West 14 Mile Road, Suite 100","Farmington Hills, Michigan 48334",8,248-406-4100,http://antone.com
Aplin & Ringsmuth LLC,"5950 Seminole Centre Court, Suite 220","Madison, Wisconsin 53711",3,608-819-8408,http://aplinringsmuth.com
"Appellate Advocates, Inc.","111 John Street, 9th Floor","New York, New York 10038-1003",12,212-693-0085,http://www.appad.org/
Appel Yost & Zee LLP,33 N Duke St,"Lancaster, Pennsylvania 17602",10,717-394-0521,https://appelyostzee.com/
Apperson Crump,6070 Poplar Avenue Suite 600,"Memphis, Tennessee 38119-3954",5,901-756-6300,http://www.appersoncrump.com/
Applegate & Thorne Thomsen PC,"425 S Financial Pl
Suite 1900","Chicago, Illinois 60605",21,312-491-4400,http://att-law.com
Apruzzese McDermott Mastro & Murphy PC,"25 Independence Blvd, Third Floor","Warren, New Jersey 07059",10,908-580-1776,http://www.ammm.com/
"Arcadi Jackson, LLP","2911 Turtle Creek Blvd., Suite 800","Dallas, Texas 75219",,214-865-6458,https://arcadijackson.com/
Archer & Greiner PC,1025 Laurel Oak Road,"Voorhees, New Jersey 08043-3506",106,856-795-2121,http://www.archerlaw.com
Arch & Lake LLP,"203 N LaSalle Street

Suite 2100","Chicago, Illinois 60601",5,312-558-1369,http://archlakelaw.com
Archstone Law Group PC,"275 Grove Street, Suite 2-400","Newton, Massachusetts 02466",,781-314-0100,https://www.archstonelaw.com/
ArentFox Schiff LLP,"1717 K Street, NW","Washington, District of Columbia 20006",336,202-857-6000,http://www.arentfox.com
Arias Sanguinetti Wang & Team LLP,"6701 Center Drive West, 14th Floor","Los Angeles, California 90045",6,310-844-9696,http://aswtlawyers.com
Arkin Solbakken LLP,"900 Third Avenue, 18th Floor","New York, New York 10022",3,212-333-0200,http://www.arkin-law.com
"Armbrecht Jackson, LLP","63 South Royal Street, 13th Floor Riverview Plaza","Mobile, Alabama 36602-3660",19,251-405-1300,http://ajlaw.com/
"Armbrust & Brown, PLLC","100 Congress Avenue,Suite 1300","Austin, Texas 78701-2744",19,512-435-2300,http://www.abaustin.com/
Armstrong Donohue Ceppos Vaughan & Rhoades CHTD,"204 Monroe Street, Suite 101","Rockville, Maryland 20850",16,301-251-0440,http://adclawfirm.com
Armstrong Teasdale,"7700 Forsyth Boulevard, Suite 1800","St. Louis, Missouri 63105",198,314-621-5070,http://www.armstrongteasdale.com
Arnall Golden Gregory LLP,"171 17th Street Northwest, Suite 2100","Atlanta, Georgia 30363",126,404-873-8500,http://www.agg.com
Arnett Baker Draper & Hagood LLP,"First Horizon Plaza
Suite 2300","Knoxville, Tennessee 37901",10,865-546-7000,https://www.arnettbaker.com/
Arnold Gallagher P.C.,"800 Willamette Street, Suite 800","Eugene, Oregon 97401",5,541-484-0188,http://arnoldgallagher.com/
"Arnold LaRochelle Mathews VanConas & Zirbel, LLP",300 Esplanade Dr Ste 2100,"Oxnard, California 93036-9303",4,805-988-9886,http://atozlaw.com
Arnold & Porter Kaye Scholer LLP,"601 Massachusetts Ave., NW","Washington, District of Columbia 20001-3743",302,202-942-5000,http://www.arnoldporter.com
Arns Davis Law,"515 Folsom Street, 3rd Floor","San Francisco, California 94105",,415-495-7800,https://www.arnslaw.com/
"Arnzen, Storm & Turner, P.S.C.","600 Greenup St,","Covington, Kentucky 41011",,859-431-6100,https://arnzenlaw.com/
Aronberg Goldgehn Davis & Garmisa,"330 North Wabash Ave., Suite 1700","Chicago, Illinois 60611-6061",29,312-828-9600,http://www.agdglaw.com/
Aronova & Associates PLLC,"100 Garden City Plaza, Suite 500","Garden City, New York 11530",3,516-640-3900,http://aronovaassociates.com
Arrowood LLP,"10 Post Office Square
7th Floor South","Boston, Massachusetts 02109-0210",4,617-849-6200,http://arrowoodllp.com
Artegis Law Group LLP,"710 Lakeway Drive, Suite 120","Sunnyvale, California 94085",4,408-715-1211,http://artegislaw.com
"Arthur, Chapman, Kettering, Smetak & Pikala, P.A.","500 Young Quinlan Building, 81 South Ninth Street","Minneapolis, Minnesota 55402",34,612-339-3500,http://www.arthurchapman.com
Artiano Shinoff,"3636 FOURTH AVENUE

SUITE 200","San Diego, California 92103",5,619-232-3122,https://www.as7law.com/
Asbury Law Firm,"133 Peachtree Street, NE
Suite 4900","Atlanta, Georgia 30303",2,404-382-9942,https://asburylawfirm.com/
Ashbaugh Beal,4400 Columbia Center 701 5th Ave,"Seattle, Washington 98104-9810",9,206-386-5900,http://ashbaughbeal.com
"Ashby & Geddes, P.A.","500 Delaware Avenue
8th Floor","Wilmington, Delaware 19801",12,302-654-1888,http://ashbygeddes.com
Ashcraft & Gerel LLP,"1825 K Street NW, Suite 700","Washington, District of Columbia 20006",8,202-335-2600,http://ashcraftandgerel.com/
Ashcroft Law Firm,"919 Congress Avenue
Suite 1325","Austin, Texas 78701",7,512-370-1800,http://ashcroftlawfirm.com
"Ashford & Wriston, LLP",999 Bishop Street,"Honolulu, Hawaii 96813",5,808-539-0400,http://www.ashfordwriston.com/
Ash Law Firm PLLC,1818 Crane Ridge Dr. Suite 100,"Jackson, Mississippi 39216",,601-981-5600,https://www.ashlaw.ms/
Ask LLP,"60 East 42nd Street, 46th Floor","New York, New York 10165",11,212-267-7342,http://askllp.com
Asmar Schor & McKenna PLLC,"5335 Wisconsin Avenue, NW, Suite 950","Washington, District of Columbia 20015",5,202-244-4264,http://www.asm-law.com/
"Asmar, Schor & McKenna, PLLC","5335 Wisconsin Avenue, NW, Suite 950","Washington, District of Columbia 20015",,202-244-4264,https://www.asm-law.com/
Aspey Watkins & Diesel PLLC,123 N San Francisco St. Suite 300,"Flagstaff, Arizona 86001",10,928-774-1478,http://awdlaw.com
Assaf & Siegal PLLC,16 Corporate Woods Blvd.,"Albany, New York 12211",,518-431-1000,https://assafandsiegal.com/
Assouline & Berlowe PA,"100 SE 2nd St., Suite 3105","Miami, Florida 33131",10,305-567-5576,http://
Astor Weiss Kaplan & Mandel LLP,"The Bellevue, Suite 600
200 South Broad Street","Philadelphia, Pennsylvania 19102",13,215-790-0100,http://astorweiss.com
Aswad & Ingraham LLP,46 Front Street,"Binghamton, New York 13905",8,607-722-3495,http://ailaw.com
Athea Trial Lawyers LLP,126 Lomita Street,"El Segundo, California 90245",6,310-742-8063,https://www.athealaw.com/
Atheria Law PC,One Post Street 37th Floor,"San Francisco, California 94104",13,415-278-7100,http://atherialaw.com
Atherton Galardi Mullen & Reeder PA,"1641 Worthington Road
Suite 100","West Palm Beach, Florida 33409",6,561-293-2530,http://athertonlg.com
Atkins Hollmann Jones Peacock Lewis & Lyon Inc,3800 E 42nd St Ste 500,"Odessa, Texas 79762-7976",10,432-331-1600,http://odessalawfirm.com
