name,no_of_lawyers
Athea Trial Lawyers LLP,6
Atheria Law PC,38
,
Atherton Galardi Mullen & Reeder PA,9
Atkins Hollmann Jones Peacock Lewis & Lyon Inc,13
"Atkinson, Andelson, Loya, Ruud & Romo",239
Atkinson Brittingham Gladd Fiasco & Edmonds PC,18
Atlas Hall & Rodriguez LLP,25
,
AT Law Group,7
Attorney Sullivan & Associates LLC,Not Available
Atwood Malone Turner & Sabin PA,11
Auman Mahan & Furry,11
Ausley & McMullen,36
,
Austill Lewis Pipkin & Maddox PC,8
Avek IP,21
Avila Rodriguez Hernandez Mena & Garro LLP,31
Avisen Legal PA,12
"Axinn, Veltrop & Harkrider LLP",86
,
Axley Brynelson LLP,71
AXS Law Group PLLC,14
AXS LAW Group PLLC,Not Available
Ayres Jenkins Gordy & Almand PA,12
Ayres Shelton Williams Benson & Paine LLC,10
,
A Y Strauss,18
"Aziz Law Firm, P.A.",Not Available
"Baab & Denison, L.L.P.",Not Available
"Babst, Calland, Clements & Zomnir, P.C.",109
Bacon Wilson,39
,
Bagwell Holt Smith PA,26
Bailes Craig & Sellards PLLC,12
"Bailes, Craig, & Sellards, PLLC",Not Available
"Bailey Cavalieri, LC",54
Bailey Cowan Heckaman PLLC,12
,
"Bailey & Dixon, L.L.P.",15
Bailey Duquette PC,24
Bailey & Galyen Attorneys at Law,38
Bailey & Glasser LLP,Not Available
"Bailey & Glasser, LLP",82
,
Bailey Kennedy LLP,11
Bailey & Oliver Law Firm,Not Available
"Bailey & Wyant, PLLC",32
Baird & Baird PSC,13
Baird Crews Schiller & Whitaker PC,13
,
"Baird Holm, LLP",96
Baird Mandalas Brockstedt & Federico,26
Baker Botts LLP,560
Baker Braverman & Barbadoro PC,14
Baker Castro & Steinback LLC,19
,
Baker Donelson Bearman Caldwell & Berkowitz PC,639
Baker & Hostetler LLP,981
Baker Manock & Jensen,26
Baker McKenzie,600
Baker Ravenel & Bender LLP,7
,
Baker Sterchi Cowden & Rice LLC,77
Baker Wotring LLP,10
Bakke Norman Law Offices SC,12
Balch & Bingham LLP,221
Balcomb & Green PC,13
,
Balestriere Fariello,7
Ballard Rosenberg Golper & Savitt LLP,25
Ballard Spahr LLP,585
"Ball, Ball, Matthews & Novak, P.A.",23
"Ball Janik, LLP",22
,
Ball Morse Lowe PLLC,33
Ballon Stoll PC,15
Ball Santin & McLeran PLC,7
Bangs McCullen Law Firm,19
Banker Lopez Gassler PA,149
,
Banner & Witcoff LTD,115
Barack Ferrazzano Kirschbaum & Nagelberg LLP,122
"Barber, Banaszynski & Hiatt, PSC",Not Available
"Barber & Bartz, PC",18
Barber Emerson LC,10
,
Barber Law Firm,26
Barclay Damon LLP,276
"Barclay Legal, PLC",Not Available
Bardacke Allison LLP,Not Available
Barg Coffin Lewis & Trapp LLP,9
,
"Barg Coffin Lewis & Trapp, LLP",Not Available
"Barkan Meizlish, LLP",6
Barkley T. Miller,Not Available
Barley Snyder,134
"Barlow Garsek & Simon, LLP",Not Available
,
"Barna, Guzy & Steffen, Ltd.",31
Barnard Iglitzin & Lavitt LLP,18
Barnes Alford Stork & Johnson LLP,14
Barnes Maloney PLLC,16
Barnes Richardson & Colburn LLP,11
,
Barnes & Thornburg LLP,758
Barnett & Rubin,Not Available
Barnhouse Keegan Solimon & West LLP,11
"Barnwell Whaley Patterson & Helms, LC",22
"Baron & Budd, PC",Not Available
,
Barone Defense Firm,7
Barrack Rodos & Bacine,22
"Barran Liebman, LLP",19
"Barrasso Usdin Kupperman Freeman & Sarver, LLC",28
Barrett & Davis,Not Available
,
Barrett McNagny LLP,40
Barrett Twomey Broom Hughes & Hoke LLP,8
"Barrick, Switzer, Long, Balsley & Van Evera, LLP",17
Barris Sott Denn & Driker PLLC,15
Barron Peck Bennie & Schlemmer Co LPA,20
,
"Barrow & Grimm, PC",27
Barry McTiernan & Moore LLC,41
Barst Mukamal & Kleiner LLP,10
"Barth, Ballenger & Lewis, L.L.P.",Not Available
BarthCalderon LLP,12
,
Bartko Zankel Bunzel & Miller,47
Bartlett LLP,35
Bartlett Loeb Hinds & Thompson,13
"Bartlett Pontiff Stewart & Rhodes, PC",18
Bartlit Beck LLP,91
,
Barton Benson Jones PLLC,13
"Barton Gilman, LLP",48
"Barton, LLP",43
Barulich Dugoni & Suttmann,15
"Bass, Berry & Sims PLC",340
,
Bass Doherty & Finks PC,10
Bassford Remele PA,41
Bast Amron LLP,14
Bateman Seidel Miner Blomgren Chellis & Gram PC,9
"Bates Carey, LLP",68
,
"Bates & Garcia, P.C.",Not Available
Bathgate Wegener & Wolf PC,12
Batson Nolan PC,12
"Battaglia Ross Dicus & McQuaid, P.A.",13
"Batten Lee, PLLC",Not Available
,
Batten McLamb Smith PLLC,14
Battle Winslow,8
"Battle, Winslow, Scott & Wiley, P.A.",Not Available
Baty Otto Coronado Scheer PC,27
"Bauer Moynihan Johnson, LLP",15
,
Bauman Loewe Witt & Maxwell PLLC,13
BaumannKangas Estate Law,Not Available
Baum O’Connor Cullen Chmiel,11
"Baxter Baker Sidle Conn & Jones, P.A.",14
"Baxter & Baxter, LLP",Not Available
,
Baxter & Smith PC,11
"Bayard, P.A.",22
"Bayliff, Harrigan, Cord, Maugans & Cox, P.C.",Not Available
"Baylor Evnen Wolfe & Tannehill, LLP",35
BBC Law LLP,40
,
BBDG Law,19
BDG Law Group,15
Beach Law Group LLP,13
Bean Kinney & Korman PC,41
Beard Kultgen Brophy Bostwick & Dickson PLLC,18
,
"Beard St. Clair Gaffney, PA",21
Beasley Allen Law,102
"Beattie B. Ashmore, Attorney at Law",Not Available
Beattie Padovano LLC,25
Beatty & Wozniak PC,28
,
"Beavers Law, LLC",Not Available
Beck Chaet Bamberger & Polsky SC,14
Becker Glynn Muffly Chassin & Hosinski LLP,37
"Becker & House, PLLC",Not Available
Becker LLC,16
,
Becker & Poliakoff,125
Becket & Lee LLP,14
"Beckman Lawson, LLP",15
Beck Redden LLP,42
Bedell Dittmar DeVault Pillans & Coxe PA,13
,
Beerman LLP,50
"Beers Mallers Backs & Salin, LLP",21
"Beery & Spurlock Co., L.P.A.",Not Available
"Beeson, Tayer & Bodine, PC",14
Beggs & Lane,29
,
"Begley Law Firm, PLLC",Not Available
Bejin Bieneman PLC,10
"Beldock Levine & Hoffman, LLP",18
"Belin McCormick, PC",21
"Belkin Burden Wenig & Goldman, LLP",51
,
"Bell, Davis & Pitt, P.A.",36
Belles Graham LLP,Not Available
Bellinger Legal Services,Not Available
Bellinger & Suberg LLP,6
Bell Moore & Richter SC,13
,
Bell Nunnally & Martin LLP,62
"Bell Orr Ayers & Moore , PSC",17
"Belluck & Fox, LLP",15
Beltzer Bangert & Gunnell LLP,22
Bendin Sumrall & Ladner LLC,28
,
Bendit Weinstock PA,13
Benesch Friedlander Coplan & Aronoff LLP,403
Benjamin Vana Martinez & Cano LLP,9
"Bennett Bigelow & Leedom, P.S.",21
Bennett Bricklin & Saltzburg LLP,88
,
Bennett LoCicero & Liu LLP,Not Available
Bennett Schechter Arcuri & Will LLP,8
Bennett Tueller Johnson & Deere,51
Benthale McKibbin & McKnight,7
Berchem Moses PC,36
,
Bercow Radell Fernandez Larkin & Tapanes,15
"Berding & Weil, LLP",36
Berenzweig Leonard LLP,15
Beresford Booth PLLC,22
Bergen & Parkinson LLC,12
,
Berger & Berger LLP,Not Available
Berger Kahn,23
Berger Montague,108
Berger Schatz,38
Berger Singerman LLP,94
,
Bergeson & Campbell PC,8
Bergeson LLP,15
Berg Hill Greenleaf & Ruscitti LLP,55
Berke Law Firm PLLC,Not Available
Berkes Crane Santana & Spangler LLP,16
,
Berkman Bottger Newman & Schein,27
Berkman Henoch Peterson Peddy & Fenchel PC,18
Berk Merchant & Sims PLC,16
Berkowitz and Cohen APC,Not Available
Berkowitz Lichtstein Kuritsky Giasullo & Gross LLC,19
,
Berkowitz Oliver,28
Berkowitz Oliver LLP,Not Available
"Berkowitz, Trager & Trager, LLC",15
Berliner Cohen LLP,70
Berliner Corcoran & Rowe LLP,20
,
Berlin Patten Ebling,30
Berluti McLaughlin & Kutchin LLP,Not Available
"Berman, Berman, Berman,Schneider & Lowary",27
Berman Fink Van Horn. P.C.,23
Berman Law Firm,18
,
Berman Sobin Gross LLP,21
Berman Tabacco,27
"Bernick & Lifson, PA",10
Bernkopf Goodman LLP,22
"Bernstein & Berger, PA",Not Available
,
"Bernstein-Burkley, PC",26
"Bernstein Liebhard, LLP",14
Bernstein Litowitz Berger & Grossmann LLP,71
"Bernstein Shur Sawyer & Nelson, PA",104
Bernstein Stair & McAdams LLP,11
,
Berry Appleman & Leiden LLP,169
Berry Moorman,13
Bershtein Volpe & McKeon PC,6
Bertone Piccini LLP,14
Bertrand Fox Elliot Osman & Wenzel,26
,
Bessenyey & Van Tuyn L.L.C.,Not Available
Best Best & Krieger LLP,227
Best & Flanagan LLP,57
"Best & Sharp, Inc.",12
Best Vanderlaan & Harrington,29
,
"Betts, Patterson and Mines",25
Betty Neuman McMahon PLC,12
Beus Gilbert McGroder PLLC,Not Available
Bevan Mosca & Giuditta PC,10
Bever Dye LC,16
,
Beveridge & Diamond P.C.,135
Bewley Lassleben & Miller LLP,12
Beyer Law Group LLP,7
Beyers Farrell PLLC,Not Available
Beytin McLaughlin McLaughlin O'Hara & Bocchino PA,19
,
BG Law,15
BHC Law Group LLP,9
"Biancamano & Distefano, PC",22
Bickerstaff Heath Delgado Acosta LLP,22
Bickerton Law Group LLLP,7
,
Biedermann Hoenig Semprevivo,27
Bienert Katzman Littrell Williams LLP,18
Bienvenu Bonnecaze Foco Viator LLC,15
Bieser Greer,15
Big Fire Law & Policy Group LLP,20
,
Biggs Ingram & Solop PLLC,8
"Billing, Cochran, Lyles, Mauro & Ramsey, PA",19
Bilzin Sumberg Baena Price & Axelrod LLP,107
Binder & Malter LLP,7
Binder & Schwartz LLP,12
,
Birch Horton Bittner & Cherot,26
"Birch Stewart Kolasch & Birch, LLP",32
"Birch, Stewart, Kolasch & Birch, LLP",Not Available
Bird Marella Boxer Wolpert Nessim Drooks Lincenberg & Rhow PC,48
"Bird, Marella, Boxer, Wolpert, Nessim, Drooks, Lincenberg & Rhow, P.C.",Not Available
,
"Bishop Colvin, LLC",Not Available
"Biskind, Hunt & Semro, PLC",Not Available
Bitman O’Brien & Morat PLLC,11
Blackburn Domene & Burchett PLLC,14
Blackburn & Stoll LC,11
,
Black Helterline LLP,19
Black Mann & Graham LLP,10
Black Marjieh & Sanford LLP,20
Black McCuskey Souers & Arbaugh,20
Black Srebnick,19
,
"Blades & Rosenfeld, P.A.",10
Blaies & Hightower LLP,11
Blake & Uhlig PA,19
Blakinger Thomas,20
Blalock Walters,24
,
Blanchard Krasner & French APC,12
"Blanchard, Walker, O Quin & Roberts",14
"Blanchfield & Fallon, LLP",Not Available
"Blanco Tackabery & Matamoros, P.A.",26
Blaney Tipton Hiersche & Odom,12
,
Blankingship & Keith PC,42
Blank Rome LLP,690
"Blasingame, Burch, Garrard & Ashley, PC",27
"Blatman, Bobrowski, Haverty & Silverstein, LLC",Not Available
Bleakley Cypher Parent Warren & Quinn PC,11
,
Bleakley Platt & Schmidt LLP,41
"Bledsoe, Diestel, Treppa & Crane LLP",21
Bleichmar Fonti & Auld LLP,28
Blethen Berens Mankato,16
Blitman & King LLP,20
,
Blitt & Gaines PC,49
"Blitz, Bardgett & Deutsch, L.C.",14
"Block, Crouch, Keeter, Behm & Sayed, LLP",Not Available
Block & Leviton LLP,15
"Bloomfield & Kempf, LLC",Not Available
,
Bloom Law PLLC,Not Available
"Bloomquist Law Firm, LLC",Not Available
Blume Forte Fried Zerres & Molinari,20
Blumenthal Nordrehaug Bhowmik De Blouw LLP,14
Blustein Shapiro Frank & Barone LLP,14
,
BNP Law,94
"Boardman & Clark, LLP",61
Bocarsly Emden Cowan Esmail & Arndt LLP,21
Bochetto & Lentz PC,13
Bodell Bove LLC,15
,
"Bodie, Dolina, Hobbs, Friddell & Grenzer, P.A.",11
Bodker Ramsey Andrews Winograd & Wildstein PC,15
"Bodker, Ramsey, Andrews, Winograd & Wildstein, P.C.",Not Available
Bodman PLC,171
"Boehl Stopher & Graves, LLP",23
,
"Boggs, Avellino, Lach & Boggs, LC",16
Bogin Munns & Munns PA,40
Bohm Law Group Inc,12
Boies Schiller Flexner LLP,151
Bojorquez Law Firm PC,23
,
Bold Polisner Maddow Nelson & Judson,11
Bona Law PC,13
Bond & Botes Law Offices,17
Bond Schoeneck & King PLLC,301
Bondurant Mixson & Elmore LLP,Not Available
,
"Bondurant, Mixson & Elmore, LLP",37
Bonezzi Switzer Polito & Perry Co LPA,27
Bonne Bridges Mueller OKeefe & Nichols,10
Boodell & Domanskis LLC,12
Bookoff McAndrews PLLC,47
,
"Boone Karlberg, P.C",19
Booth LLP,12
Bopp & Guecia,Not Available
"Borah, Goldstein, Altschuler, Nahins & Goidel, P.C.",52
Boren Osher Luftman LLP,11
,
"Borowski & Traylor, P.A.",Not Available
"Borrelli & Associates, PLLC",9
Borton Petrini LLP,40
Bosch Killman VanderWal PC,8
"Bose Mckinney & Evans, LLP",102
,
"Bossie, Reilly & Oh, P.C.",Not Available
Bostwick Law,Not Available
Boswell & Dunlap LLP,10
Botos Churchill IP Law LLP,11
Bottar Law PLLC,6
,
"Bouhan Falligant, LLP",24
Boulette Golden & Marin L.L.P.,Not Available
"BourgeoisWhite, LLP",Not Available
"Bourland, Wall & Wenzel, PC",29
Bousquet Holstein PLLC,53
,
Boutin Jones Inc,52
Bovis Kyle Burch & Medlin LLC,36
"Bowditch & Dewey, LLP",61
Bowen Radabaugh & Milton PC,13
Bowen & Scroth PA,11
,
Bowie & Jensen LLC,16
Bowles and Verna LLP,17
"Bowles Rice, LLP",106
Bowman and Brooke LLP,172
BoyarMiller,33
,
Boyce Holleman & Associates,Not Available
"Boyce Law Firm, LLP",19
Boyd Collar Nolen Tuggle & Roddenbery Law Firm,14
Boyd & Jenerette PA,54
Boyd Richards Parker Colonnelli,62
,
Boyer Hebert & Angelle,6
Boylan Code LLP,25
"Boyle Fredrickson, SC",25
Boyle Leonard & Anderson PA,19
Boyle & Shaughnessy Law,76
,
Bozeman Neighbour Patton & Noe LLP,10
Bozicevic Field & Francis LLP,12
BPE Law Group,15
Bracewell LLP,283
Brach Eichler LLC,83
,
"Brackett & Ellis, PC",35
"Bradford & Barthel, LLP",102
Bradley Arant Boult Cummings LLP,650
Bradley Gmelich & Wellerstein LLP,26
Bradley Murchison Kelly & Shea LLC,41
,
Bradley & Riley PC,31
Brady Connolly & Masuda PC,30
Braff Harris & Sukoneck,7
Bragalone Olejko Saad PC,6
"Brand, Glick & Brand, PC",15
,
Brannen Searcy & Smith LLP,9
Brann & Isaacson,20
Brannock Berman Seider,10
Branscomb Law,26
"Braude Law Group, P.C.",Not Available
,
Brault Palmer & Steinhilber LLP,Not Available
Braumiller Law Group PLLC,13
BraunHagey & Borden LLP,44
Braun Kendrick Attorneys At Law,23
Braverman Greenspun PC,22
,
"Brayton Purcell, LLP",22
"Breazeale, Sachse & Wilson, L.L.P.",70
Bredhoff & Kaiser PLLC,37
Breeding Olinzock Carter Crippen,7
"Breer Law Firm, LLC",Not Available
,
Bregman Berbert Schwartz & Gilday LLC,27
Bremer Whyte Brown & O'Meara LLP,195
Brennan Burtker LLC,20
"Brennan, Manna & Diamond, LLC",88
Brennan Recupero Cascione Scungio McAllister LLP,11
,
"Brennan & Wasden, LLC",Not Available
"Brenner, Saltzman & Wallman LLP",21
"Bressler, Amery & Ross, P.C.",122
"Brett D. Watson, Attorney at Law, PLLC",Not Available
Brewer Attorneys & Counselors,16
,
Brewer Krause Brooks & Chastain PLLC,13
Bricker Graydon LLP,203
"Brick Gentry, PC",29
Bricklin & Newman LLP,Not Available
Brick & Patel LLP,16
,
Brierton Jones & Jones LLP,10
BrigliaHundley PC,7
"Brim & Brim, P.C.",Not Available
Brinker & Doyen LLP,20
Brinkley Morgan,22
,
"Brinson, Askew, Berry, Seigler, Richardson",14
Brix Law LLP,Not Available
Brock Guerra Strandmo Dimaline Jones PC,14
Brock & Scott PLLC,131
Brock Shipe Klenk PLC,11
,
"Brodsky Fotiu-Wojtowicz, PLLC",Not Available
Brody Hardoon Perkins & Kesten LLP,15
Brody Wilkinson PC,25
"Broening, Oberg, Woods & Wilson",30
Bronstein & Carmona PA,6
,
Bronster Fujichaku Robbins,15
Bronster LLP,14
Brooks & Berne PLLC,20
Brooks & Derensis PC,18
Brooks Kushman PC,65
,
Brooks Law Firm PC,19
"Brooks Law Office, PLLC",Not Available
"Brooks, McComb & Fields, LLP",Not Available
"Brooks, Pierce, McLendon, Humphrey & Leonard, L.L.P.",113
Brooks Wilkins Sharkey & Turco PLLC,22
,
"Brothers Alvarado, PC",13
Brothers Smith LLP,15
Brouse McDowell,66
Brousseau Naftis & Massingill A Professional Corporation,Not Available
Brown & Carlson PA,26
,
Brown Chiari LLP,14
Brown & Connery LLP,54
Brown Counsel,Not Available
"Brown & Crouppen, P.C.",47
"Brown & Fortunato, PC",31
,
Brown Fox PLLC,19
Brown Gee & Wenger LLP,12
Brown Goldstein Levy,22
"BrownGreer, PC",31
Brown Gren Abraham & McCracken LLC,18
,
"Brown Hay & Stephens, LLP",35
Brown & Hofmeister LLP,11
"Browning, Kaleczyc, Berry & Hoven, PC",24
"Brown & James, PC",74
"Brown, Kinsey, Funkhouser & Lander, P.L.C.",Not Available
,
Brown Law Firm PC,16
Brownlee Whitlow & Praet,20
"Brown Moskowitz & Kallen, PC",17
Brown Neri Smith Khan LLP,20
Brown Paindiris & Scott LLP,26
,
Brown Proctor & Howell LLP,9
Brown Pruitt Wambsganss Ferrill & Dean,23
Brown Readdick Bumgartner Carter Strickland & Watkins LLP,13
Brown Rudnick LLP,203
"Brown & Ruprecht, PC",11
,
Brown Sims,97
"Brownstein Hyatt Farber Schreck, LLP",279
Brownstein Rask LLP,19
Brown & Streza LLP,28
Brown Udell Pomerantz & Delrahim Ltd,15
,
Brown White & Osborn LLP,20
BrownWinick Law Firm,76
Brown & Winters,11
Brubaker Connaughton Goss &Lucarell,12
"Bruner & Bruner, PC",Not Available
,
Brunini Grantham Grower & Hewes PLLC,39
"Brunini, Grantham, Grower & Hewes, PLLC",Not Available
"Bruno, Gerbino & Soriano, LLP",14
"Brustein & Manasevit, PLLC",11
Bryan Cave Leighton Paisner LLP,655
,
Bryan Nelson PA,13
Bryant Law Center PSC,7
Bryant Lovlien & Jarvis PC,13
"Bryant Miller Olive, PA",39
"Brydon, Swearengen & England",13
,
Buchalter PC,426
Buchanan Ingersoll & Rooney PC,414
Buckalew Frizzell & Crevina LLP,11
"Buckingham, Doolittle & Burroughs",74
Buck Keenan LLP,9
,
Buckley Bala Wilson Mew LLP,9
Buckley Brion Mcguire & Morris LLP,14
Buckley Fine LLC,18
Buckley King,28
"Buckley Law, PC",11
,
Buckley Theroux Kline & Cooley LLC,12
Buckner Shifrin Etter Dugan & Bradfute PA,14
"Budlong & Budlong, LLC",Not Available
Buechner Haffer Meyers Koenig Co LPA,19
"Bueide Law Firm, LLC",Not Available
,
"Buelow Vetter Buikema Olson & Vliet, LC",17
Buerger Moseley & Carson PLC,11
Buist Byars & Taylor LLC,14
Bulkley Richardson & Gelinas LLP,41
Bullivant Houser Bailey PC,71
,
Bulso PLC,Not Available
"Bunch Law, LLC",Not Available
Bunger & Robertson,14
Bunsow De Mory LLP,17
Burbidge Mitchell,Not Available
,
"Burch and Cracchiolo, P.A.",40
"Burch, Porter & Johnson, PLLC",38
